,Unnamed: 0,TrackSegment,TourID,DateTime,Latitude,Longitude,A2_RSSI,SNR,avg_snr,avg_rssi,Failure,TS
178,1749,98,29872733.0,2021-06-01 06:33:41,47.3060580575445,8.050039029952478,1.92,1.0,0.7000000000000004,1.896,0,1622516261
179,1750,98,29895811.0,2021-06-01 15:18:03,47.3059784995311,8.050005840955839,1.69,1.0,0.7000000000000004,1.87,2,1622528283
180,1751,98,29904902.0,2021-06-01 17:50:15,47.306029086183,8.050027112687978,2.06,0.75,0.8500000000000003,1.8840000000000001,0,1622533095
181,1752,98,29923147.0,2021-06-01 20:17:53,47.30616888216668,8.050084161302244,1.45,1.0,0.9500000000000004,1.7819999999999998,1,1622535473
410,3526,99,29872733.0,2021-06-01 06:33:20,47.30640668113344,8.050181006085628,1.88,1.0,0.6333333333333339,1.7980000000000005,0,1622516240
411,3527,99,29895811.0,2021-06-01 15:17:47,47.30659242580956,8.050255237530875,1.9,1.0,0.7333333333333338,1.8540000000000003,0,1622528267
412,3528,99,29904902.0,2021-06-01 17:49:59,47.30657774385873,8.050249328314813,1.99,0.3333333333333333,0.8000000000000005,1.91,0,1622533079
413,3529,99,29923147.0,2021-06-01 20:17:36,47.30625073256172,8.050117540209557,1.79,0.0,0.6000000000000004,1.8700000000000003,0,1622535456
642,5302,100,29872733.0,2021-06-01 06:33:06,47.30744228077405,8.050520662886628,2.2,0.8,0.9600000000000012,2.0360000000000005,0,1622516226
643,5303,100,29895811.0,2021-06-01 15:17:35,47.30748556251685,8.05052836695092,1.92,1.0,0.9600000000000012,2.0480000000000005,0,1622528255
644,5304,100,29904902.0,2021-06-01 17:49:49,47.307458000798356,8.050523393196492,2.07,0.8,0.920000000000001,2.0620000000000003,0,1622533069
645,5305,100,29923147.0,2021-06-01 20:17:26,47.30759880535392,8.050548843858705,1.99,1.0,0.920000000000001,2.0540000000000003,0,1622535446
874,7078,101,29872733.0,2021-06-01 06:32:58,47.30840117600117,8.050683277357317,2.4,0.75,0.9100000000000013,2.2260000000000004,0,1622516218
875,7079,101,29895811.0,2021-06-01 15:17:26,47.30840395939217,8.050683726957049,1.89,1.0,0.9100000000000013,2.144,0,1622528246
876,7080,101,29904902.0,2021-06-01 17:49:40,47.308406433814994,8.050684235234352,1.82,1.0,0.9100000000000013,2.04,0,1622533060
877,7081,101,29923147.0,2021-06-01 20:17:17,47.30840059580725,8.0506832838888,2.17,1.0,0.9500000000000012,2.056,0,1622535437
1106,8854,102,29872733.0,2021-06-01 06:32:50,47.30923920266422,8.050988834125341,2.26,1.0,0.9600000000000012,2.2920000000000003,0,1622516210
1107,8855,102,29895811.0,2021-06-01 15:17:17,47.309245424494065,8.050995852328366,2.33,1.0,1.000000000000001,2.298,0,1622528237
1108,8856,102,29904902.0,2021-06-01 17:49:32,47.309275151354036,8.051013746192721,2.31,1.0,1.000000000000001,2.3000000000000003,0,1622533052
1109,8857,102,29923147.0,2021-06-01 20:17:10,47.30923522822786,8.050985314982427,2.34,1.0,1.000000000000001,2.3080000000000003,0,1622535430
1338,10630,103,29872733.0,2021-06-01 06:32:40,47.3100935562674,8.051404299422021,2.5,1.0,1.000000000000001,2.478,0,1622516200
1339,10631,103,29895811.0,2021-06-01 15:17:06,47.31010588513258,8.051407007660611,2.5,1.0,1.000000000000001,2.4900000000000007,0,1622528226
1340,10632,103,29904902.0,2021-06-01 17:48:56,47.31023304159632,8.051406788381426,2.51,1.0,1.000000000000001,2.498,0,1622533016
1341,10633,103,29923147.0,2021-06-01 20:17:00,47.310085263926155,8.051402605497936,2.54,1.0,1.000000000000001,2.5040000000000004,0,1622535420
1570,12407,104,29872733.0,2021-06-01 06:32:06,47.310926428674534,8.051277824234024,2.46,1.0,1.000000000000001,2.4880000000000004,0,1622516166
1571,12408,104,29895811.0,2021-06-01 15:16:28,47.310907948504045,8.051281453587947,2.47,1.0,1.000000000000001,2.4880000000000004,0,1622528188
1572,12409,104,29904902.0,2021-06-01 17:48:47,47.31091421044308,8.05128140569407,2.5,1.0,1.000000000000001,2.4800000000000004,0,1622533007
1573,12410,104,29923147.0,2021-06-01 20:16:22,47.31089342671361,8.051285102238234,2.5,1.0,1.000000000000001,2.4800000000000004,0,1622535382
1802,14184,105,29872733.0,2021-06-01 06:31:59,47.311827436304426,8.051227889348432,2.43,1.0,1.000000000000001,2.4900000000000007,0,1622516159
1803,14185,105,29895811.0,2021-06-01 15:16:21,47.311797460757894,8.051224478355941,2.54,1.0,1.000000000000001,2.492,0,1622528181
1804,14186,105,29904902.0,2021-06-01 17:48:41,47.31180108046932,8.05122440975433,2.5,1.0,1.000000000000001,2.492,0,1622533001
1805,14187,105,29923147.0,2021-06-01 20:16:16,47.31178137343016,8.05122160622043,2.5,1.0,1.000000000000001,2.4940000000000007,0,1622535376
2034,15961,106,29872733.0,2021-06-01 06:31:53,47.31278161461078,8.051416334087847,2.2,1.0,1.000000000000001,2.218000000000001,0,1622516153
2035,15962,106,29895811.0,2021-06-01 15:16:16,47.31269450780317,8.051392795404448,2.06,1.0,1.000000000000001,2.1640000000000006,0,1622528176
2036,15963,106,29904902.0,2021-06-01 17:48:35,47.3127298393271,8.05140308893609,2.3,1.0,1.000000000000001,2.184,0,1622532995
2037,15964,106,29923147.0,2021-06-01 20:16:11,47.312706901614504,8.051397106997902,2.16,0.8,0.9600000000000012,2.1760000000000006,0,1622535371
2266,17738,107,29872733.0,2021-06-01 06:31:48,47.31367417007059,8.05169567525393,2.4,1.0,1.000000000000001,2.3420000000000005,0,1622516148
2267,17739,107,29895811.0,2021-06-01 15:16:11,47.313569079867456,8.051659203106666,2.3,1.0,1.000000000000001,2.3340000000000005,0,1622528171
2268,17740,107,29904902.0,2021-06-01 17:48:30,47.3136537007785,8.051688928792863,2.26,1.0,1.000000000000001,2.3200000000000003,0,1622532990
2269,17741,107,29923147.0,2021-06-01 20:16:06,47.31361972368997,8.051676822391814,2.34,1.0,1.000000000000001,2.314,0,1622535366
2652,21202,108,29868297.0,2021-06-01 06:31:43,47.31453035156538,8.05203876592601,2.47,1.0,1.000000000000001,2.4560000000000004,0,1622516143
2653,21203,108,29872733.0,2021-06-01 06:44:31,47.314498878237714,8.052024870902164,2.53,1.0,1.000000000000001,2.4619999999999997,0,1622516911
2654,21204,108,29891348.0,2021-06-01 15:16:06,47.314470748042424,8.052012987417141,2.48,1.0,1.000000000000001,2.4640000000000004,0,1622528166
2655,21205,108,29895811.0,2021-06-01 15:29:25,47.31445540908654,8.052006082864954,2.34,1.0,1.000000000000001,2.4440000000000004,0,1622528965
2656,21206,108,29900487.0,2021-06-01 17:48:25,47.314520919959115,8.052034454868295,2.47,1.0,1.000000000000001,2.4580000000000006,0,1622532985
2657,21207,108,29904902.0,2021-06-01 17:59:00,47.31449431664339,8.052022560496527,2.37,1.0,1.000000000000001,2.438,0,1622533620
2658,21208,108,29909343.0,2021-06-01 20:16:01,47.314542066786956,8.052044738675361,2.44,1.0,1.000000000000001,2.4200000000000004,0,1622535361
3114,24742,109,29868297.0,2021-06-01 06:31:37,47.315368544966155,8.052452350808883,2.47,1.0,1.000000000000001,2.5040000000000004,0,1622516137
3115,24743,109,29872733.0,2021-06-01 06:44:36,47.315364429985074,8.052450321395439,2.57,1.0,1.000000000000001,2.5240000000000005,0,1622516916
3116,24744,109,29891348.0,2021-06-01 15:16:00,47.315352622121274,8.052443974688494,2.5,1.0,1.000000000000001,2.4960000000000004,0,1622528160
3117,24745,109,29895811.0,2021-06-01 15:29:31,47.315345047374365,8.052440209407692,2.51,1.0,1.000000000000001,2.5040000000000004,0,1622528971
3118,24746,109,29900487.0,2021-06-01 17:48:19,47.31533746925781,8.05243569383781,2.51,1.0,1.000000000000001,2.5120000000000005,0,1622532979
3119,24747,109,29904902.0,2021-06-01 17:59:07,47.315340452207366,8.05243781742406,2.47,1.0,1.000000000000001,2.5120000000000005,0,1622533627
3120,24748,109,29909343.0,2021-06-01 20:15:56,47.3153755932056,8.052455645537316,2.47,1.0,1.000000000000001,2.492,0,1622535356
3576,28282,110,29868297.0,2021-06-01 06:31:31,47.31623444748477,8.052814981338273,2.3,1.0,1.000000000000001,2.3340000000000005,0,1622516131
3577,28283,110,29872733.0,2021-06-01 06:44:42,47.3162696715801,8.052818974530426,2.43,1.0,1.000000000000001,2.3600000000000003,0,1622516922
3578,28284,110,29891348.0,2021-06-01 15:15:54,47.316241997381155,8.052814231854756,2.26,1.0,1.000000000000001,2.3180000000000005,0,1622528154
3579,28285,110,29895811.0,2021-06-01 15:29:38,47.316238718043,8.052811875524654,2.3,1.0,1.000000000000001,2.318,0,1622528978
